"range","species","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","source","range_area_km2","lat_mp","ctmax","ctmin"
"Desmognathus_fuscus_IUCN","Desmognathus_fuscus","acclimatized",125,253,199,327,0.205128205128205,0.22972972972973,"Terrestrial","IUCN",1548642,38.5751565195,39.29181,-6.229977
"Egernia_striolata_GBIF","Egernia_striolata","acclimatized",30,405,276,651,0.580645161290323,0.270454545454545,"Terrestrial","GBIF",2727822,-27.9509371417412,46.4492,-0.4050518
"Egernia_striolata_IUCN","Egernia_striolata","acclimatized",30,483,198,651,0.419354838709677,0.158808933002481,"Terrestrial","IUCN",1830012,-27.2808403529999,46.4492,-0.4050518
"Eleutherodactylus_coqui_IUCN","Eleutherodactylus_coqui","acclimatized",0,476,3,479,0.00579710144927536,0.00746268656716418,"Terrestrial","IUCN",12364,21.954099141,37.2,2.582767
"Elgaria_multicarinata_IUCN","Elgaria_multicarinata","acclimatized",14,928,54,968,0.0309278350515464,0.05175983436853,"Terrestrial","IUCN",332751,38.615441149,44.51744,-6.755886
"Eremias_argus_IUCN","Eremias_argus","acclimatized",112,2199,532,2619,0.126626626626627,0.272108843537415,"Terrestrial","IUCN",4172221,41.4884031755001,47.52411,-9.773338
"Eremias_brenchleyi_IUCN","Eremias_brenchleyi","acclimatized",0,1597,104,1701,0.0400815217391304,0.228,"Terrestrial","IUCN",927318,35.5924158100001,46.22411,-7.373338
"Eremias_multiocellata_GBIF","Eremias_multiocellata","acclimatized",315,1032,373,1090,0.179245283018868,0.0444664031620553,"Terrestrial","GBIF",3628178,42.2027268315594,44.78283,-1.773338
"Eremias_multiocellata_IUCN","Eremias_multiocellata","acclimatized",153,284,153,284,NA,NA,"Terrestrial","IUCN",907461,47.168057483,43.72411,-1.773338
"Eremiascincus_fasciolatus_IUCN","Eremiascincus_fasciolatus","acclimatized",35,157,50,172,0.375,0.0670731707317073,"Terrestrial","IUCN",434768,-23.202842195,43.4492,2.494948
"Eremiascincus_fasciolatus_GBIF","Eremiascincus_fasciolatus","acclimatized",422,22,572,172,1,0.858974358974359,"Terrestrial","GBIF",6010004,-24.5922414491592,43.4492,2.494948
"Eremiascincus_richardsoni_GBIF","Eremiascincus_richardsoni","acclimatized",345,33,595,283,0.924528301886792,0.885375494071146,"Terrestrial","GBIF",6214056,-25.3522748898709,44.2492,0.7949482
"Eurycea_bislineata_IUCN","Eurycea_bislineata","acclimatized",31,991,166,1126,0.189448441247002,0.078984485190409,"Terrestrial","IUCN",1198568,44.3903927350001,39.39181,-5.824376
"Hemachatus_haemachatus_IUCN","Hemachatus_haemachatus","acclimatized",5,1909,63,1967,0.673076923076923,0.014025974025974,"Terrestrial","IUCN",392531,-29.7209011155,46.76075,-4.279048
"Hemiergis_peroni_GBIF","Hemiergis_peroni","acclimatized",75,60,75,60,NA,NA,"Terrestrial","GBIF",583638,-34.5230391405754,38.6,3.094948
"Lacerta_agilis_IUCN","Lacerta_agilis","acclimatized",1451,204,1482,235,0.294117647058824,0.128888888888889,"Terrestrial","IUCN",10035379,50.589335593,45.83578,5.9
"Linepithema_humile_GBIF","Linepithema_humile","acclimatized",11,990,437,1416,0.854368932038835,0.206611570247934,"Terrestrial","GBIF",4310254,-29.7497418597388,43.33337,-2.925008
"Liolaemus_abaucan_IUCN","Liolaemus_abaucan","acclimatized",0,385,1,386,0.05,0.0027027027027027,"Terrestrial","IUCN",1409,-27.5177749944999,49.91744,6.894979
"Liolaemus_albiceps_IUCN","Liolaemus_albiceps","acclimatized",0,172,1,173,0.02,0.0078740157480315,"Terrestrial","IUCN",686,-24.248600387,46.94744,-1.465021
"Liolaemus_bibronii_IUCN","Liolaemus_bibronii","acclimatized",32,1352,50,1370,1,0.00952380952380952,"Terrestrial","IUCN",295599,-44.6722253445,47.14744,-0.02502083
"Liolaemus_bibronii_GBIF","Liolaemus_bibronii","acclimatized",40,1314,96,1370,0.766666666666667,0.0246268656716418,"Terrestrial","GBIF",722673,-39.9166231665576,47.14744,-0.02502083
"Liolaemus_boulengeri_GBIF","Liolaemus_boulengeri","acclimatized",45,885,87,927,1,0.0327868852459016,"Terrestrial","GBIF",813939,-41.396187524773,46.60744,0.8849792
"Liolaemus_boulengeri_IUCN","Liolaemus_boulengeri","acclimatized",14,923,18,927,1,0.00216216216216216,"Terrestrial","IUCN",84512,-43.5916641994999,46.60744,0.8849792
"Liolaemus_canqueli_IUCN","Liolaemus_canqueli","acclimatized",1,830,6,835,0.1,0.00368098159509202,"Terrestrial","IUCN",14866,-43.9997479225,47.21744,-1.525021
"Liolaemus_capillitas_IUCN","Liolaemus_capillitas","acclimatized",0,175,4,179,0.0476190476190476,0.0145985401459854,"Terrestrial","IUCN",5851,-27.1254681725,46.31744,-1.045021
"Liolaemus_chacoensis_IUCN","Liolaemus_chacoensis","acclimatized",6,876,35,905,0.372093023255814,0.0184331797235023,"Terrestrial","IUCN",375206,-27.0893977199999,46.71744,6.384979
"Liolaemus_cuyanus_IUCN","Liolaemus_cuyanus","acclimatized",3,988,17,1002,0.126984126984127,0.00839454354669465,"Terrestrial","IUCN",63024,-32.8253007105,48.31744,3.484979
"Liolaemus_darwinii_GBIF","Liolaemus_darwinii","acclimatized",8,1271,78,1341,0.427083333333333,0.0269200316706255,"Terrestrial","GBIF",596832,-33.8661772285365,47.29744,1.594979
"Liolaemus_darwinii_IUCN","Liolaemus_darwinii","acclimatized",17,1289,69,1341,0.508196721311475,0.01640625,"Terrestrial","IUCN",396964,-36.6733767835,47.29744,1.594979
"Liolaemus_dorbignyi_IUCN","Liolaemus_dorbignyi","acclimatized",0,136,1,137,0.0357142857142857,0.0087719298245614,"Terrestrial","IUCN",595,-27.4920304795,46.52744,0.3149792
"Liolaemus_elongatus_IUCN","Liolaemus_elongatus","acclimatized",8,983,28,1003,0.5,0.010183299389002,"Terrestrial","IUCN",150565,-41.6673427825,47.71744,-0.8350208
"Liolaemus_elongatus_GBIF","Liolaemus_elongatus","acclimatized",26,926,103,1003,0.822222222222222,0.0486039296794209,"Terrestrial","GBIF",836422,-38.8911185436146,47.71744,-0.8350208
"Liolaemus_fitzingerii_IUCN","Liolaemus_fitzingerii","acclimatized",2,1344,2,1344,NA,NA,"Terrestrial","IUCN",792,-44.9019719375,47.06744,-0.2750208
"Liolaemus_irregularis_IUCN","Liolaemus_irregularis","acclimatized",0,172,2,174,0.0196078431372549,0.00813008130081301,"Terrestrial","IUCN",1867,-23.8911176029999,47.59744,-1.555021
"Liolaemus_kingii_IUCN","Liolaemus_kingii","acclimatized",14,1358,34,1378,0.714285714285714,0.00733137829912024,"Terrestrial","IUCN",210999,-46.3966257265,47.11744,-1.505021
"Liolaemus_kingii_GBIF","Liolaemus_kingii","acclimatized",27,1347,58,1378,0.823529411764706,0.0146627565982405,"Terrestrial","GBIF",432208,-46.4115282896415,47.11744,-1.505021
"Liolaemus_koslowskyi_IUCN","Liolaemus_koslowskyi","acclimatized",0,496,6,502,0.0833333333333333,0.00862068965517241,"Terrestrial","IUCN",15792,-28.132707021,48.71744,4.704979
"Liolaemus_kriegi_IUCN","Liolaemus_kriegi","acclimatized",6,475,13,482,0.142857142857143,0.0109170305676856,"Terrestrial","IUCN",56163,-40.4757320209999,46.28744,-0.9150208
"Liolaemus_laurenti_IUCN","Liolaemus_laurenti","acclimatized",0,490,7,497,0.121212121212121,0.00847457627118644,"Terrestrial","IUCN",8118,-30.4094503094999,48.79744,3.684979
"Liolaemus_laurenti_GBIF","Liolaemus_laurenti","acclimatized",0,468,29,497,0.575757575757576,0.0317796610169492,"Terrestrial","GBIF",229823,-30.7610738686825,48.79744,3.684979
"Liolaemus_melanops_IUCN","Liolaemus_melanops","acclimatized",2,1390,10,1398,0.0925925925925926,0.00444444444444444,"Terrestrial","IUCN",38331,-42.588626478,47.55744,-2.865021
"Liolaemus_multicolor_IUCN","Liolaemus_multicolor","acclimatized",0,167,6,173,0.0555555555555556,0.0252100840336134,"Terrestrial","IUCN",28576,-23.012822127,47.31744,-0.4550208
"Liolaemus_multimaculatus_IUCN","Liolaemus_multimaculatus","acclimatized",1,399,6,404,0.166666666666667,0.0100502512562814,"Terrestrial","IUCN",3649,-38.728022549,46.44744,0.4149792
"Liolaemus_olongasta_IUCN","Liolaemus_olongasta","acclimatized",0,449,8,457,0.129032258064516,0.00938967136150235,"Terrestrial","IUCN",24810,-30.7457156905,47.19744,3.334979
"Liolaemus_petrophilus_IUCN","Liolaemus_petrophilus","acclimatized",5,992,20,1007,0.307692307692308,0.0101626016260163,"Terrestrial","IUCN",96396,-42.934182997,47.84744,-1.205021
"Liolaemus_poecilochromus_GBIF","Liolaemus_poecilochromus","acclimatized",21,116,58,153,0.212121212121212,0.264367816091954,"Terrestrial","GBIF",539905,-19.3358345281776,46.77744,0.8349792
"Liolaemus_poecilochromus_IUCN","Liolaemus_poecilochromus","acclimatized",0,149,4,153,0.0540540540540541,0.0172413793103448,"Terrestrial","IUCN",10167,-26.3318233595,46.77744,0.8349792
"Liolaemus_pseudoanomalus_IUCN","Liolaemus_pseudoanomalus","acclimatized",0,248,6,254,0.0952380952380952,0.0182648401826484,"Terrestrial","IUCN",27880,-28.2579329684999,48.54744,3.674979
"Liolaemus_quilmes_IUCN","Liolaemus_quilmes","acclimatized",0,270,3,273,0.0285714285714286,0.00492610837438424,"Terrestrial","IUCN",7935,-26.3643173055,47.30744,-0.05502083
"Liolaemus_quilmes_GBIF","Liolaemus_quilmes","acclimatized",0,269,4,273,0.0298507462686567,0.00970873786407767,"Terrestrial","GBIF",12069,-26.6851712712983,47.30744,-0.05502083
"Liolaemus_riojanus_IUCN","Liolaemus_riojanus","acclimatized",0,725,7,732,0.0784313725490196,0.00440528634361234,"Terrestrial","IUCN",14046,-31.139950122,47.81744,2.184979
"Liolaemus_robertmertensi_IUCN","Liolaemus_robertmertensi","acclimatized",0,576,5,581,0.0930232558139535,0.0054945054945055,"Terrestrial","IUCN",19952,-27.6282195804999,45.61744,5.554979
"Liolaemus_rothi_IUCN","Liolaemus_rothi","acclimatized",1,689,17,705,0.142857142857143,0.0124804992199688,"Terrestrial","IUCN",77654,-39.75285205,46.41744,-3.015021
"Liolaemus_rothi_GBIF","Liolaemus_rothi","acclimatized",3,670,38,705,0.265625,0.0280811232449298,"Terrestrial","GBIF",253021,-39.9016243781565,46.41744,-3.015021
"Liolaemus_salinicola_IUCN","Liolaemus_salinicola","acclimatized",0,230,4,234,0.0869565217391304,0.00947867298578199,"Terrestrial","IUCN",6749,-27.8639966784999,50.82744,5.684979
"Liolaemus_scapularis_IUCN","Liolaemus_scapularis","acclimatized",0,264,3,267,0.0161290322580645,0.00975609756097561,"Terrestrial","IUCN",6550,-26.6782646765,48.18744,0.8749792
"Liolaemus_telsen_IUCN","Liolaemus_telsen","acclimatized",3,477,7,481,0.272727272727273,0.00424628450106157,"Terrestrial","IUCN",21208,-41.733879623,47.21744,0.4649792
"Liolaemus_xanthoviridis_IUCN","Liolaemus_xanthoviridis","acclimatized",5,1139,5,1139,NA,NA,"Terrestrial","IUCN",5726,-44.331013589,47.09744,-0.6550208
"Oedothorax_apicatus_GBIF","Oedothorax_apicatus","acclimatized",0,2915,230,3145,0.117571059431525,0.0586250527203711,"Terrestrial","GBIF",1500931,56.9490760621602,46.48762,-11.78923
"Pardosa_nigriceps_GBIF","Pardosa_nigriceps","acclimatized",3,2862,234,3093,0.205776173285199,0.0460811343048444,"Terrestrial","GBIF",1413322,58.7839663596746,45.38762,-11.48923
"Philodromus_aureolus_GBIF","Philodromus_aureolus","acclimatized",0,3350,346,3696,0.0853658536585366,0.096694214876033,"Terrestrial","GBIF",2432361,55.7352148693996,47.78762,-15.08923
"Phrynosoma_cornutum_IUCN","Phrynosoma_cornutum","acclimatized",22,236,186,400,0.369047619047619,0.488888888888889,"Terrestrial","IUCN",1801830,31.469849648,50.17177,-0.5738862
"Platysaurus_intermedius_IUCN","Platysaurus_intermedius","acclimatized",2,1760,52,1810,0.290322580645161,0.0183066361556064,"Terrestrial","IUCN",391376,-21.9959567625,48.46075,0.300952
"Plestiodon_chinensis_IUCN","Plestiodon_chinensis","acclimatized",4,739,229,964,0.4,0.175070028011204,"Terrestrial","IUCN",2247769,28.0595633365,45.6789,-2.783128
"Plestiodon_elegans_IUCN","Plestiodon_elegans","acclimatized",23,984,316,1277,0.241308793456033,0.222081218274112,"Terrestrial","IUCN",3092054,30.7924871925001,45.2789,-1.473338
"Plestiodon_gilberti_IUCN","Plestiodon_gilberti","acclimatized",17,443,41,467,0.0923913043478261,0.0247349823321555,"Terrestrial","IUCN",216396,35.2476718035001,45.55511,-1.073886
"Podarcis_muralis_IUCN","Podarcis_muralis","acclimatized",185,166,254,235,0.844444444444444,0.221153846153846,"Terrestrial","IUCN",1831067,44.084485593,46.13578,5.9
"Prinerigone_vagans_GBIF","Prinerigone_vagans","acclimatized",0,764,29,793,0.0833333333333333,0.0261941448382126,"Terrestrial","GBIF",193078,51.8532944361072,41.58762,-13.57396
"Protobothrops_mucrosquamatus_IUCN","Protobothrops_mucrosquamatus","acclimatized",14,1566,374,1926,0.115179252479024,0.352395672333849,"Terrestrial","IUCN",3572457,28.422616895,42.36557,-4.433338
"Psammodromus_algirus_IUCN","Psammodromus_algirus","acclimatized",8,859,75,926,0.305555555555556,0.0250941028858218,"Terrestrial","IUCN",585059,33.129005226,45.78097,7
"Psammodromus_hispanicus_IUCN","Psammodromus_hispanicus","acclimatized",48,53,64,69,0.19047619047619,0.25,"Terrestrial","IUCN",488894,40.273635593,46.74913,8.8
"Pseudacris_cadaverina_IUCN","Pseudacris_cadaverina","acclimatized",0,1226,14,1240,0.0098135426889107,0.0233463035019455,"Terrestrial","IUCN",63751,32.8212265295,40.4057,-6.535804
"Pseudacris_regilla_IUCN","Pseudacris_regilla","acclimatized",44,1010,210,1176,0.173134328358209,0.105454545454545,"Terrestrial","IUCN",1543994,39.4166402815,40.2057,-6.135804
"Rana_cascadae_IUCN","Rana_cascadae","acclimatized",8,933,31,956,0.033096926713948,0.0168855534709193,"Terrestrial","IUCN",113889,44.4384598915001,37.2057,-6.135804
"Rana_pretiosa_IUCN","Rana_pretiosa","acclimatized",5,1117,22,1134,0.0223880597014925,0.0109289617486339,"Terrestrial","IUCN",62528,45.0841598285,38.4057,-6.135804
"Sceloporus_undulatus_IUCN","Sceloporus_undulatus","acclimatized",294,63,481,250,0.908256880733945,0.624113475177305,"Terrestrial","IUCN",4098308,33.6857207805,42.37677,2.626114
"Scotina_gracilipes_GBIF","Scotina_gracilipes","acclimatized",49,503,164,618,0.634920634920635,0.145648312611012,"Terrestrial","GBIF",1013433,56.1790486938401,47.08762,-11.57253
"Spea_hammondii_IUCN","Spea_hammondii","acclimatized",8,277,25,294,0.2,0.0354330708661417,"Terrestrial","IUCN",122001,35.2312285305001,43.07024,-5.241406
"Sphenomorphus_incognitus_IUCN","Sphenomorphus_incognitus","acclimatized",16,574,169,727,0.374449339207048,0.136,"Terrestrial","IUCN",1538455,25.0030408015,43.46557,3.956872
"Sphenomorphus_indicus_GBIF","Sphenomorphus_indicus","acclimatized",32,2212,477,2657,0.144552776600254,0.372239747634069,"Terrestrial","GBIF",5015540,19.1033525343431,40.9789,-7.673338
"Sphenomorphus_indicus_GARD","Sphenomorphus_indicus","acclimatized",48,2140,565,2657,0.170512820512821,0.372239747634069,"Terrestrial","GARD",5904450,19.7723983527519,40.9789,-7.673338
"Sphenomorphus_taiwanensis_GARD","Sphenomorphus_taiwanensis","acclimatized",0,512,3,515,0.016260162601626,0.00468384074941452,"Terrestrial","GARD",25224,23.6924210402988,41.56557,-1.442463
"Stemonyphantes_lineatus_GBIF","Stemonyphantes_lineatus","acclimatized",19,911,284,1176,0.619565217391304,0.160591133004926,"Terrestrial","GBIF",1841582,55.4341617529814,46.18762,-17.97253
"Takydromus_hsuehshanensis_IUCN","Takydromus_hsuehshanensis","acclimatized",0,241,1,242,0.0166666666666667,0.00515463917525773,"Terrestrial","IUCN",2460,24.2243269205,47.66557,-4.842463
"Takydromus_septentrionalis_IUCN","Takydromus_septentrionalis","acclimatized",26,1914,294,2182,0.077893175074184,0.209006928406467,"Terrestrial","IUCN",2789522,31.7394890015001,48.66557,-4.833338
"Takydromus_sexlineatus_IUCN","Takydromus_sexlineatus","acclimatized",15,654,337,976,0.251842751842752,0.722222222222222,"Terrestrial","IUCN",3721166,9.57302511200004,45.5789,-2.683128
"Tarentola_boettgeri_IUCN","Tarentola_boettgeri","acclimatized",0,12,0,12,NA,NA,"Terrestrial","IUCN",1756,28.8969855930001,42.1,-3.707262
"Thamnophis_elegans_IUCN","Thamnophis_elegans","acclimatized",325,527,374,576,0.1,0.0815533980582524,"Terrestrial","IUCN",2537950,43.8473643265,46.06011,2
"Tiliqua_rugosa_GBIF","Tiliqua_rugosa","acclimatized",15,122,567,674,0.920754716981132,0.753056234718826,"Terrestrial","GBIF",5859198,-28.2684153729021,45.2492,-3.005052
"Tiliqua_rugosa_IUCN","Tiliqua_rugosa","acclimatized",9,376,307,674,0.837696335078534,0.334615384615385,"Terrestrial","IUCN",2858850,-30.0269519255,45.2492,-3.005052
"Tlalocohyla_smithii_IUCN","Tlalocohyla_smithii","acclimatized",13,206,32,225,0.0733333333333333,0.159574468085106,"Terrestrial","IUCN",260451,20.7333486045001,47.14796,-0.2414058
"Trachylepis_striata_GARD","Trachylepis_striata","acclimatized",500,494,738,732,0.903225806451613,0.241001564945227,"Terrestrial","GARD",7959309,-9.2217838977336,44.5,7.833243
"Trimeresurus_gracilis_GARD","Trimeresurus_gracilis","acclimatized",0,502,3,505,0.0185185185185185,0.00462962962962963,"Terrestrial","GARD",17181,23.8421755472729,41.90225,-3.109706
"Trimeresurus_stejnegeri_GARD","Trimeresurus_stejnegeri","acclimatized",167,400,321,554,0.446428571428571,0.163636363636364,"Terrestrial","GARD",3155609,21.4164819321931,42.20225,-4.017262
"Uta_stansburiana_GBIF","Uta_stansburiana","acclimatized",221,299,414,492,0.32475884244373,0.506976744186047,"Terrestrial","GBIF",3773780,36.2118436608121,46.46344,-1.623886
"Uta_stansburiana_IUCN","Uta_stansburiana","acclimatized",134,352,274,492,0.2508038585209,0.342541436464088,"Terrestrial","IUCN",2078485,35.227160181,46.46344,-1.623886
"Xantusia_vigilis_IUCN","Xantusia_vigilis","acclimatized",29,158,50,179,0.208333333333333,0.0655737704918033,"Terrestrial","IUCN",254886,30.6486560185,43.75511,-4.462312
"Dascyllus_aruanus_GBIF","Dascyllus_aruanus","acclimatized",10,2840,406,3236,0.137554585152838,0.114404576183047,"Marine","GBIF",114113811,-10.5329066424248,42.85482,6.8855
"Engraulis_japonicus_IUCN","Engraulis_japonicus","acclimatized",41,3712,68,3739,0.0233128834355828,0.0027359781121751,"Marine","IUCN",2443170,34.4184356295,32,1.693
"Fundulus_parvipinnis_GBIF","Fundulus_parvipinnis","acclimatized",0,9865,10,9875,0.00118273211117682,0.00083298625572678,"Marine","GBIF",130676,31.2639506656813,41.2252,-3.577
"Halichoeres_dispilus_IUCN","Halichoeres_dispilus","acclimatized",2,3335,50,3383,0.0210597826086957,0.00958627648839556,"Marine","IUCN",1170380,6.60263096650004,39.12445,8.1005
"Malacoctenus_zonifer_IUCN","Malacoctenus_zonifer","acclimatized",0,4075,25,4100,0.00805951642901426,0.0050801094177413,"Marine","IUCN",591876,11.1551247375,41.52445,5.0005
"Menidia_menidia_GBIF","Menidia_menidia","acclimatized",24,3381,36,3393,0.00307219662058372,0.00364697301239971,"Marine","GBIF",2412856,36.5019313656972,32.5,-0.832
"Periophthalmus_kalolo_GBIF","Periophthalmus_kalolo","acclimatized",9,2861,322,3174,0.0768314472900536,0.124348958333333,"Marine","GBIF",7911865,-1.7039031600172,43.74742,5.0355
"Plagiotremus_azaleus_IUCN","Plagiotremus_azaleus","acclimatized",0,3299,46,3345,0.0194647201946472,0.0104166666666667,"Marine","IUCN",1321819,10.6707428415001,38.62445,5.9005
"Sphoeroides_maculatus_IUCN","Sphoeroides_maculatus","acclimatized",44,3604,47,3607,0.00246913580246914,0.000624609618988132,"Marine","IUCN",1091223,41.179556441,32.5,4.473
"Tautogolabrus_adspersus_IUCN","Tautogolabrus_adspersus","acclimatized",48,4675,48,4675,NA,NA,"Marine","IUCN",1120819,48.2400285635001,35.1252,-0.407
"Thalassoma_lucasanum_IUCN","Thalassoma_lucasanum","acclimatized",5,3154,46,3195,0.0183246073298429,0.00976085895558809,"Marine","IUCN",1084935,8.63012459700005,39.32445,8.8005
"Anodontia_bullula_GBIF","Anodontia_bullula","acclimatized",0,3498,43,3541,0.0228245363766049,0.0101045296167247,"Intertidal","GBIF",1383577,-15.0469085802848,42.15577,-10.25638
"Cerastoderma_edule_GBIF","Cerastoderma_edule","acclimatized",57,4816,125,4884,0.0272536687631027,0.00839849406313351,"Intertidal","GBIF",1730158,49.4578045850014,45.20932,-18.78335
"Divaricella_irpex_GBIF","Divaricella_irpex","acclimatized",0,3687,45,3732,0.025089605734767,0.00976685570258349,"Intertidal","GBIF",1327494,-19.3383589779573,42.78577,-11.91638
"Halozetes_belgicae_GBIF","Halozetes_belgicae","acclimatized",0,724,0,724,NA,NA,"Intertidal","GBIF",0,-62,37.47821,-5.134073
"Hemigrapsus_nudus_GBIF","Hemigrapsus_nudus","acclimatized",18,3335,18,3335,NA,NA,"Intertidal","GBIF",185251,47.2466316667706,38.71953,-10.30911
"Macoma_balthica_GBIF","Macoma_balthica","acclimatized",421,6264,497,6340,0.0197287299630086,0.00785008863003292,"Intertidal","GBIF",6336966,56.1882707851773,40.85344,-19.61335
"Nacella_concinna_GBIF","Nacella_concinna","acclimatized",5,870,5,870,NA,NA,"Intertidal","GBIF",498701,-65.0846644488208,5,-26.70911
"Petrolisthes_gracilis_GBIF","Petrolisthes_gracilis","acclimatized",0,5919,15,5934,0.00262295081967213,0.00306539509536785,"Intertidal","GBIF",80379,26.3808058194614,43.55286,-13.11486
"Petrolisthes_hirtipes_GBIF","Petrolisthes_hirtipes","acclimatized",0,3517,13,3530,0.0100430416068867,0.00277392510402219,"Intertidal","GBIF",67852,27.0952876846382,42.91953,-10.51486
