genus,species,group,Acclim. Time (d),Cool Rate (C/min),Heat rate (C/min),latitude,longitude,habitat,Max CTmax ©,Min CTmin (C),CTmax ARR,CTmin ARR,seasonality ©,ref
Ascaphus,truei,amph,6,NA,1,46.877696,-113.990799,t,29.5,NA,0.11,NA,8.16,[1]
Bufo,fowleri,amph,14,NA,1,40.789142,-73.13496,t,36.6,NA,0.16,NA,8.294,[2]
Bufo,marinus,amph,14,NA,1,9.152102,-79.84648,t,41.8,NA,0.21,NA,0.684,[2]
Bufo,boreas,amph,14,NA,1,33.862237,-118.399519,t,38.1,NA,0.13,NA,2.947,[2]
Bufo,boreas,amph,14,NA,1,33.646966,-117.689218,t,37.8,NA,0.11,NA,3.597,[2]
Bufo,boreas,amph,14,NA,1,51.091389,-121.586667,t,35.5,NA,0.06,NA,8.02,[2]
Bufo,exsul,amph,14,NA,1,37.371667,-117.985,t,37.1,NA,0.08,NA,7.869,[2]
Bufo,nelsoni,amph,14,NA,1,36.908557,-116.759226,t,36.2,NA,0.04,NA,8.56,[2]
Bufo,canorus,amph,14,NA,1,37.911037,-119.25793,t,38,NA,0.14,NA,5.64,[2]
Bufo,haematiticus,amph,14,NA,1,9.913056,-83.682778,t,37.5,NA,0.10,NA,0.642,[2]
Bufo,marmoreus,amph,14,NA,1,16.183333,-95.2,t,40.2,NA,0.09,NA,1.269,[2]
Bufo,alvarius,amph,14,NA,1,27.953366,-110.86929,t,39.9,NA,0.18,NA,4.941,[2]
Bufo,cognatus,amph,14,NA,1,27.953366,-110.86929,t,41.3,NA,0.18,NA,4.941,[2]
Bufo,mazatlanensis,amph,14,NA,1,21.567292,-105.245325,t,39.9,NA,0.15,NA,2.846,[2]
Bufo,debilis,amph,14,NA,1,21.567292,-105.245325,t,40.1,NA,0.15,NA,2.846,[2]
Bufo,compactilis,amph,14,NA,1,21.363487,-101.929274,t,36.9,NA,0.12,NA,2.76,[2]
Eleutherodactylus,coqui,amph,7,NA,0.5,18.402807,-66.050137,t,37.4,NA,0.03,NA,1.251,[3]
Pseudacris,regilla,amph,14,NA,1,33.646966,-117.689218,t,36.6,NA,0.19,NA,3.597,[2]
Hyla,walkeri,amph,14,NA,1,16.737142,-92.637567,t,38.1,NA,0.12,NA,1.187,[2]
Hyla,californiae,amph,14,NA,1,34,-117.396119,t,36.8,NA,0.32,NA,4.875,[2]
Smilisca,baudinii,amph,14,NA,1,24.771044,-107.694788,t,40.4,NA,0.29,NA,3.949,[2]
Pternohyla,fodiens,amph,14,NA,1,21.567292,-105.245325,t,39.5,NA,0.16,NA,2.846,[2]
Litoria,aurea,amph,10,NA,1,-38.916664,146.333333,t,36.2,NA,0.09,NA,2.964,[4]
Litoria,rubella,amph,10,NA,1,-20.012274,148.246291,t,39.5,NA,0.18,NA,3.015,[4]
Litoria,rubella,amph,10,NA,1,-17.093286,145.923522,t,38.7,NA,0.15,NA,2.477,[4]
Litoria,rubella,amph,10,NA,1,-19.257622,146.817879,t,39.3,NA,0.18,NA,3.094,[4]
Litoria,peroni,amph,10,NA,1,-33.456091,151.348206,t,36.3,NA,0.26,NA,3.79,[4]
Litoria,peroni,amph,10,NA,1,-30.514342,151.666964,t,36.2,NA,0.16,NA,4.742,[4]
Litoria,rothii,amph,10,NA,1,-20.012274,148.246291,t,38.9,NA,0.14,NA,3.015,[4]
Litoria,rothii,amph,10,NA,1,-17.093286,145.923522,t,39.4,NA,0.38,NA,2.477,[4]
Litoria,lesueri,amph,10,NA,1,-16.920334,145.77086,t,34.2,NA,0.08,NA,2.404,[4]
Litoria,lesueri,amph,10,NA,1,-37.496175,148.17353,t,34.5,NA,0.20,NA,3.755,[4]
Litoria,lesueri,amph,10,NA,1,-37.496546,148.235908,t,33.1,NA,0.14,NA,3.766,[4]
Litoria,ewingi,amph,10,NA,1,-30.514342,151.666964,t,32.8,NA,0.11,NA,4.742,[4]
Litoria,ewingi,amph,10,NA,1,-37.359262,142.59155,t,32.6,NA,0.09,NA,4.047,[4]
Litoria,ewingi,amph,10,NA,1,-37.87133,145.24246,t,34,NA,0.14,NA,3.753,[4]
Litoria,alpina,amph,10,NA,1,-36.455917,148.263588,t,32.9,NA,0.17,NA,4.833,[4]
Litoria,alpina,amph,10,NA,1,-37.833306,146.266671,t,32.2,NA,0.16,NA,4.18,[4]
Litoria,bicolor,amph,10,NA,1,-17.093286,145.923522,t,41.4,NA,0.29,NA,2.477,[4]
Litoria,fallax,amph,10,NA,1,-17.093286,145.923522,t,41.6,NA,0.21,NA,2.477,[4]
Litoria,fallax,amph,10,NA,1,-19.257622,146.817879,t,39.6,NA,0.03,NA,3.094,[4]
Litoria,fallax,amph,10,NA,1,-33.456091,151.348206,t,37.5,NA,0.15,NA,3.79,[4]
Litoria,caerulea,amph,10,NA,1,-19.257622,146.817879,t,39.2,NA,0.19,NA,3.094,[4]
Litoria,chloris,amph,10,NA,1,-17.266821,145.476035,t,38.3,NA,0.07,NA,2.704,[4]
Litoria,gracilenta,amph,10,NA,1,-17.266821,145.476035,t,38.3,NA,0.09,NA,2.704,[4]
Acris,crepitans,amph,5,NA,0.6,42.779442,-96.92921,t,43.2,NA,0.08,NA,11.144,[5]
Pseudacris,triseriata,amph,5,NA,0.6,42.779442,-96.92921,t,40.4,NA,0.07,NA,11.144,[5]
Cophixalus,ornatus,amph,10,NA,1,-17.806672,146.007098,t,33.3,NA,0.11,NA,2.719,[4]
Crinia,signifera,amph,10,NA,1,-30.514342,151.666964,t,35.3,NA,0.15,NA,4.742,[4]
Crinia,signifera,amph,10,NA,1,-36.455917,148.263588,t,34.9,NA,0.13,NA,4.833,[4]
Crinia,signifera,amph,10,NA,1,-37.496175,148.17353,t,35.5,NA,0.16,NA,3.755,[4]
Crinia,signifera,amph,10,NA,1,-37.87133,145.24246,t,33.5,NA,0.03,NA,3.753,[4]
Crinia,signifera,amph,10,NA,1,-37.359262,142.59155,t,35.7,NA,0.21,NA,4.047,[4]
Crinia,signifera,amph,10,NA,1,-42.300245,147.370999,t,33.5,NA,0.14,NA,3.418,[4]
Crinia,laevis,amph,10,NA,1,-37.359262,142.59155,t,34.6,NA,0.23,NA,4.047,[4]
Crinia,victoriana,amph,10,NA,1,-36.758711,144.283746,t,35,NA,0.13,NA,4.844,[4]
Pseudophryne,corroboree,amph,10,NA,1,-36.391785,148.427442,t,35.2,NA,0.16,NA,4.722,[4]
Pseudophryne,bibronii,amph,10,NA,1,-33.456091,151.348206,t,36.2,NA,0.29,NA,3.79,[4]
Pseudophryne,bibronii,amph,10,NA,1,-36.691685,145.886735,t,35,NA,0.17,NA,5.037,[4]
Philoria,frosti,amph,10,NA,1,-37.833306,146.266671,t,28.8,NA,0.08,NA,4.18,[4]
Limnodynastes,peronii,amph,10,NA,1,-17.093286,145.923522,t,34.1,NA,0.18,NA,2.477,[4]
Limnodynastes,dorsalis,amph,10,NA,1,-31.090742,150.930838,t,36.5,NA,0.22,NA,5.187,[4]
Limnodynastes,dorsalis,amph,10,NA,1,-38.916664,146.333333,t,35,NA,0.09,NA,2.964,[4]
Limnodynastes,tasmaniensis,amph,10,NA,1,-30.514342,151.666964,t,33.4,NA,0.18,NA,4.742,[4]
Chiropterotrition,multidentatus,amph,12,NA,NA,20.194491,-98.722227,t,34,NA,0.16,NA,1.571,[6]
Rana,vergatipes,amph,6,NA,0.54,39.86,-74.69,t,38,NA,0.11,NA,8.405,[7]
Rana,pipiens,amph,14,NA,1,10.015501,-83.788401,t,35.7,NA,0.19,NA,0.585,[2]
Rana,palmipes,amph,14,NA,1,9.913056,-83.682778,t,36.9,NA,0.17,NA,0.642,[2]
Rana,cascadae,amph,14,NA,1,39.992683,-120.803947,t,33.6,NA,0.12,NA,6.414,[2]
Rana,pretiosa,amph,14,NA,1,51.091389,-121.586667,t,34.8,NA,0.12,NA,8.02,[2]
Rana,sylvatica,amph,14,NA,1,51.091389,-121.586667,t,33.6,NA,0.13,NA,8.02,[2]
Rana,clamitans,amph,14,NA,1,40.789142,-73.13496,t,35,NA,0.31,NA,8.294,[2]
Rana,catesbeiana,amph,14,NA,1,40.789142,-73.13496,t,33.6,NA,0.11,NA,8.294,[2]
Rana,palustris,amph,14,NA,1,40.789142,-73.13496,t,31.3,NA,0.09,NA,8.294,[2]
Buergeria,japonica,amph,7,NA,0.31,24.552778,121.500278,fw,44.7,NA,0.01,NA,3.919,[8]
Buergeria,japonica,amph,7,NA,0.31,23.455556,120.605,fw,43.9,NA,0.15,NA,3.499,[8]
Scaphiopus,hammondii,amph,14,NA,1,33.646966,-117.689218,t,40.3,NA,0.19,NA,3.597,[2]
Scaphiopus,holbrooki,amph,14,NA,1,40.789142,-73.13496,t,34,NA,0.33,NA,8.294,[2]
Ambystoma,jeffersoni,amph,10,NA,0.6,39.424142,-84.185712,t,36.1,NA,0.08,NA,9.088,[9]
Ambystoma,opacum,amph,30,NA,0.55,35.994033,-78.898619,t,38.5,NA,0.10,NA,7.634,[10]
Cryptobranchus,alleganiensis,amph,14,NA,NA,36.672006,-92.381362,fw,36.6,NA,0.20,NA,8.615,[11]
Necturus,maculosus,amph,14,NA,1,45.638378,-89.413769,fw,35.7,NA,0.17,NA,11,[12]
Desmognathus,fuscus,amph,7,0.75,0.75,39.777825,-84.689749,t,34.9,-2.3,0.08,0.19,9.225,[13]
Eurycea,bislineata,amph,7,0.75,0.75,39.777825,-84.689749,t,35.5,-2,0.11,0.23,9.225,[14]
Desmognathus,quadramaculatus,amph,5,0.65,NA,35.0964,-83.719914,t,NA,-2.5,NA,0.31,6.997,[15]
Desmognathus,monticola,amph,5,0.65,NA,35.0964,-83.719914,t,NA,-1.4,NA,0.27,6.997,[15]
Desmognathus,ochrophaeus,amph,5,0.65,NA,35.0964,-83.719914,t,NA,-1.8,NA,0.28,6.997,[15]
Plethodon,jordani,amph,5,0.65,NA,35.0964,-83.719914,t,NA,-2,NA,0.19,6.997,[15]
Triturus,dobrogicus,amph,70,NA,0.5,46.891402,19.443249,fw,37.9,NA,0.11,NA,7.771,[16]
Notophthalmus,viridescens,amph,30,NA,0.55,36.494084,-81.119608,t,42.7,NA,0.21,NA,7.314,[10]
Bufo,boreas,amph,14,NA,1,35,NA,t,36.5,NA,0.10,NA,NA,[2]
Pseudacris,regilla,amph,14,NA,1,35,NA,t,37.7,NA,0.20,NA,NA,[2]
Leptodactylus,melanotus,amph,14,NA,1,30,NA,t,39.8,NA,0.56,NA,NA,[2]
Rana,pipiens,amph,14,NA,1,45,NA,t,35.4,NA,0.16,NA,NA,[2]
Rana,pipiens,amph,14,NA,1,17,NA,t,35.2,NA,0.21,NA,NA,[2]
Rana,pipiens,amph,14,NA,1,17,NA,t,37,NA,0.33,NA,NA,[2]
Rana,boylei,amph,14,NA,1,42,NA,t,34,NA,0.12,NA,NA,[2]
Scaphiopus,hammondii,amph,14,NA,1,31,NA,t,40,NA,0.27,NA,NA,[2]
Cancer,pagurus,crust,21,NA,0.2,54.691745,-1.163,sw,30.6,NA,0.49,NA,3.277097022,[17]
Crangon,crangon,crust,14,0.2,0.75,50.336971,-4.150181,sw,35.4,-1.1,0.20,0.28,2.723084514,"[18, 
  19]"
Palaemonetes,varians,crust,120,NA,0.93,48.657117,-1.624435,sw,35.9,NA,0.50,NA,3.15386667,[20]
Palaemon,elegans,crust,7,NA,0.75,50.356989,-4.126444,sw,35,NA,0.30,NA,2.723084514,[18]
Palaemon,serratus,crust,7,NA,0.75,50.352533,-4.132247,sw,33.5,NA,0.31,NA,2.723084514,[18]
Palaemon,varians,crust,7,NA,0.75,50.724786,-1.517822,sw,36,NA,0.23,NA,3.172358568,[18]
Palaemon,montagui,crust,7,NA,0.75,51.492167,0.848306,sw,27.6,NA,0.26,NA,3.572310562,[18]
Farfantepenaeus,aztecus,crust,21,NA,1,21.614092,-97.546388,sw,42,NA,0.50,NA,2.594699803,[21]
Carcinus,maenas,crust,21,NA,0.2,54.691745,-1.163,sw,35.8,NA,0.16,NA,3.277097022,[17]
Hemigrapsus,nudus,crust,14,0.5,0.5,48.898884,-125.23,sw,33.6,3.5,0.42,0.22,2.505196373,[22]
Saduria,entomon,crust,14,NA,0.2,60.37347,22.0473,sw,27.5,NA,0.11,NA,5.756155786,[23]
Paramelita,nigroculus,crust,12,NA,1.4,-33.966667,18.416667,fw,35.3,NA,0.17,NA,2.851,[24]
Orchestia,gammarellus,crust,10,NA,1,65.923611,-22.431389,t,38.6,NA,0.14,NA,4.285,[25]
Orchestia,gammarellus,crust,10,NA,1,65.821111,-22.488611,t,37.9,NA,0.15,NA,4.294,[25]
Orchestia,gammarellus,crust,10,NA,1,63.797778,-22.72,t,37.7,NA,0.17,NA,3.774,[25]
Orchestia,gammarellus,crust,10,NA,1,64.019722,-22.155278,t,37.9,NA,0.19,NA,3.986,[25]
Oronectes,rusticus,crust,6,NA,0.6,39.440463,-84.522219,fw,41.3,NA,0.24,NA,9.083,[26]
Oronectes,virilis,crust,6,NA,0.6,39.440463,-84.522219,fw,39.2,NA,0.18,NA,9.083,[26]
Macrobrachium,tenellum,crust,21,NA,1,26.900053,-112,fw,43,NA,0.58,NA,5.293,[27]
Macrobrachium,acanthurus,crust,30,1,1,18.366672,-92.866669,fw,39.8,11,0.48,0.44,1.894,[28]
Macrobrachium,malcolmsonii,crust,30,NA,0.3,11.483078,79.77293,fw,41.4,NA,0.37,NA,2.506,[29]
Asellus,aquaticus,crust,15,NA,0.2,60.451813,22.26663,fw,34.9,NA,0.58,NA,7.957,[30]
Homarus,americanus,crust,21,NA,0.75,41.9,NA,sw,30,NA,0.31,NA,NA,[31]
Macrobrachium,rosenbergii,crust,28,1,1,3.96,NA,sw,42,10.5,0.47,0.50,NA,[32]
Palaemon,macrodactylus,crust,7,NA,0.75,28.16,NA,sw,37.8,NA,0.39,NA,NA,[18]
Litopenaeus,vannamei,crust,30,0.02,0.02,12.17,NA,sw,42.2,7.5,0.41,0.24,NA,[33]
Penaeus,merguiensis,crust,21,0.02,NA,NA,NA,sw,NA,5.3,NA,0.42,NA,[34]
Penaeus,semisulcatus,crust,30,NA,NA,NA,NA,sw,NA,6.4,NA,0.27,NA,[35]
Portunus,pelagicus,crust,21,0.2,0.2,22.12,NA,sw,42.3,11.6,0.22,0.37,NA,[36]
Fundulus,heteroclitus,fish,21,0.3,0.3,42.923704,-70.8,sw,41.8,-1.1,0.41,0.29,5.506663297,[37]
Fundulus,heteroclitus,fish,21,0.3,0.3,31.149953,-81.3,sw,42.5,-1.1,0.36,0.35,3.923082995,[37]
Liza,viagiensis,fish,14,0.31,0.31,-5.464722,123.789,sw,44.5,9.9,0.30,0.42,1.006628034,[38]
Apogon,novemfasciatus,fish,14,0.31,0.31,-5.464722,123.789,sw,40.1,12.9,0.39,0.40,1.006628034,[38]
Gibbonsia,elegans,fish,7,0.05,0.07,34.448598,-120.471551,sw,31.6,3,0.14,0.24,1.703308112,[39]
Gibbonsia,montereyensis,fish,7,0.05,0.07,35.643859,-121.190753,sw,29.3,2.1,0.22,0.17,1.631129057,[39]
Bathygobuis,fuscus,fish,14,0.31,0.31,-5.464722,123.789,sw,42.4,9.2,0.14,0.29,1.006628034,[38]
Bathygobuis,spp,fish,14,0.31,0.31,-5.464722,123.789,sw,42.7,10.2,0.17,0.24,1.006628034,[38]
Notolabrus,celidotus,fish,28,0.03,0.03,-43.603,172.84,sw,32.4,3.5,0.38,0.47,2.116022928,[40]
Pagothenia,borchgrevinki,fish,21,NA,0.3,-77.498275,165.00349,sw,15.2,NA,0.54,NA,0.466910075,[41]
Trematomus,pennelii,fish,21,NA,0.3,-77.498275,165.00349,sw,15.4,NA,0.53,NA,0.466910075,[41]
Trematomus,hansoni,fish,21,NA,0.3,-77.498275,165.00349,sw,15.4,NA,0.39,NA,0.466910075,[41]
Trematomus,bernacchii,fish,21,NA,0.3,-77.498275,165.00349,sw,15,NA,0.24,NA,0.466910075,[41]
Gobionotothen,gibberifrons,fish,7,NA,0.3,-77.498275,165.00349,sw,17.9,NA,0.31,NA,0.466910075,[41]
Notothenia,coriiceps,fish,14,NA,0.3,-77.498275,165.00349,sw,17.4,NA,0.20,NA,0.466910075,[41]
Dascyllus,aruanus,fish,14,0.31,0.31,-5.464722,123.789,sw,40.5,12,0.39,0.33,1.006628034,[38]
Lycodichthys,dearbornii,fish,21,NA,0.3,-77.498275,165.00349,sw,15.4,NA,0.34,NA,0.466910075,[41]
Pachycara,branchycephalum,fish,21,NA,0.3,-77.498275,165.00349,sw,17.2,NA,0.46,NA,0.466910075,[41]
Dasyatis,sabina,fish,20,0.3,0.3,29.805767,-85.354374,sw,43.2,0.8,0.31,0.41,4.381008048,[42]
Campostoma,anomalum,fish,14,NA,1,39.516667,-84.708333,fw,35.8,NA,0.45,NA,9.098,[43]
Gila,bicolor,fish,7,0.14,0.14,35.650789,-117.66173,fw,36.2,2.8,0.23,0.37,8.042,[44]
Pimephales,promelas,fish,7,NA,0.3,33.214841,-97.133068,fw,40.4,NA,0.45,NA,7.996,[45]
Rhinichthys,osculus,fish,20,NA,0.45,43.281888,-110.019611,fw,34.6,NA,0.03,NA,8.237,[46]
Rhinichthys,osculus,fish,20,NA,0.45,42.866111,-109.864722,fw,34.9,NA,0.33,NA,9.164,[46]
Cyprinodon,variegatus,fish,30,0.1,0.1,26.065634,-97.158582,fw,44.2,0.6,0.29,0.32,4.91,[47]
Cyprinodon,spp,fish,7,NA,0.3,36.513859,-116.977884,fw,43.6,NA,0.23,NA,9.28,[48]
Cyprinodon,macularis,fish,7,NA,0.5,32.057499,-111.666072,fw,43.2,NA,0.30,NA,7.001,[49]
Cyprinodon,nevadensis,fish,7,0.03,0.03,36.243562,-116.856719,fw,42.7,0.8,0.14,0.17,9.116,[50]
Poecilia,sphenops,fish,30,1,1,17.033333,-96.5,fw,43,7.5,0.30,0.30,1.346,[51]
Gambusia,affinis,fish,30,NA,0.3,40.806281,-111.947806,fw,42.1,NA,0.36,NA,9.093,[52]
Gambusia,affinis,fish,30,NA,0.3,32.998333,-109.9,fw,43.2,NA,0.34,NA,7.754,[52]
Limia,melanonotata,fish,10.5,NA,0.3,18.221208,-71.102408,fw,43,NA,0.31,NA,0.992,[53]
Lepomis,gibbosus,fish,14,NA,0.3,46.285691,-119.284462,fw,35.1,NA,0.50,NA,7.809,[54]
Lepomis,macrochirus,fish,14,NA,1,33.289983,-81.727939,fw,40.9,NA,0.46,NA,6.946,[55]
Oncorhynchus,kisutch,fish,14,NA,0.3,46.285691,-119.284462,fw,28.7,NA,0.34,NA,7.809,[54]
Oncorhynchus,apache,fish,14,NA,0.02,33.691813,-109.78924,fw,29.4,NA,0.09,NA,6.841,[56]
Oncorhynchus,gilae,fish,14,NA,0.02,33.301322,-107.96392,fw,29.6,NA,0.13,NA,6.77,[56]
Salmo,salar,fish,14,NA,0.033,54.243864,-3.004282,fw,32.7,NA,0.02,NA,4.623,[57]
Salmo,trutta,fish,14,NA,0.02,33.931329,-109.58989,fw,29.9,NA,0.09,NA,6.014,[56]
Salvelinus,fontinalis,fish,14,NA,0.02,33.931329,-109.58989,fw,29.8,NA,0.11,NA,6.014,[56]
