kingdom,phylum,class,order,family,genus_species
Animalia,Chordata,Actinopteri,Perciformes,Sparidae,Acanthopagurus_schlegeli
Animalia,Arthropoda,Malacostraca,Isoposa,Asellidae,Aseilus_aquatieus
Animalia,Chordata,Actinopteri,Perciformes,Gobiidae,Bathygobuis_fuscus
Animalia,Chordata,Actinopteri,Perciformes,Gobiidae,Bathygobuis_spp
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo_compactilis
Animalia,Arthropoda,Insecta,Coleoptera,Canonopsis,Canonopsis_sericeus
Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Castanophlebia_spp
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Celithemis_spp
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Chirodica_chalcoptera
Animalia,Chordata,Amphibia,Caudata,Hemidactyliinae,Chiropterotrition_multidentatus
Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Coregonus_maraenoides
Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinodontidae,Cyprinodon_macularis
Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinodontidae,Cyprinodon_spp
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Cyrtobagous_salvineae
Animalia,Chordata,Actinopteri,,Pomacentridae,Dascylus_aruanus
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ectemnorhinus_marioni
Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Embryonopsis_halticella
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Exosphaeroma_laeviusculum
Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius_alavarius
Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus_melanotus
Animalia,Chordata,Amphibia,Anura,Ranidae,Liothobates_palustris
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates_catesbeiana
Animalia,Chordata,Amphibia,Anura,Ranidae,lithobates_vergatipes
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_alpina
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_aurea
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_caerulea
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_chloris
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_citropa
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_gracilenta
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_lesueri
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_phyllochroa
Animalia,Chordata,Teleostei,Mugiliformes,Mugilidae,Liza_viagiensis
Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodichthys_dearbornii
Animalia,Chordata,Lepidosauria,Tetrapoda,Scincidae,Lygosoma_quoyi
Animalia,Arthropoda,Arachnida,Araneida,Desidae,Myro_kerguelensis
Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Nothenia_corriceps
Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Nuerocordulia_alabamensis
Animalia,Arthropoda,Insecta,Diptera,Culicidae,Oronectes_rusticus
Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Pachycara_branchycephalum
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon_crangon
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon_montagui
Animalia,Arthropoda,Malacostraca,Amphipoda,Hadziidae,Paraceradocus_meirsii
Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetes,Pannariaceae,Paramelita_nigroculus
Animalia,Arthropoda,Insecta,Hymenoptera,Chalcididae,Phasganophora_capitata
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethedon_glutinosus
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon_c._cinereus
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudoacrio_triseriata
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana_boylei
Animalia,Chordata,Amphibia,Anura,Ranidae,Rana_vergatipes
Animalia,Chordata,Lepidosauria,Squamata,Scincidae,Shenomorphus_incognitus
Animalia,Chordata,Lepidosauria,Squamata,Scincidae,Shenomorphus_taiwanensis
Animalia,Chordata,Lepidosauria,Squamata,Scincidae,Sphenomorphus_taiwanensis
Animalia,Chordata,Lepidosauria,Squamata,Colubridae,Thamnophis_s._concinnus
Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Trematomus_pennelii
Animalia,Chordata,Lepidosauria,Squamata,Phrynosomatidae,Uta_mearnsii
Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia_laevis
Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia_signifera
Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia_victoriana
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla_californiae
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria_glauerti