data gatherer,habitat data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,genus_species,coastal_or_oceanic,notes/logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,upper_elevation_limit_meters,lower_elevation_limit_meters,elevational_range_source,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes
Sally,,Carpiodes,cyprinus,Catostomidae,Freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Carpiodes_cyprinus,NA,freshwater,,,,,,,,,demersal,,Freshwater
Sally,,Pimephales,promelas,Cyprinidae,Freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Pimephales_promelas,NA,freshwater,,,,,,,,,demersal,,NA
Sally,,Cyprinodon,macularius,Cyprinodontidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodon_macularius,NA,freshwater,,,,,,,,,benthopelagic,,NA
Sally,Nikki,Floridichthys,carpio,Cyprinodontidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Floridichthys_carpio,coastal,brackish water ,fishbase,0,2,,https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3304,,,,benthopelagic,,listed freshwater but marine in thermal data - brackish water 
Sally,,Gambusia,yucatana,Poeciliidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Gambusia_yucatana,NA,freshwater,,,,,,,,,benthopelagic,,NA
Sally,,Poeciliopsis,occidentalis,Poeciliidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliopsis_occidentalis,NA,freshwater,,,,,,,,,benthopelagic,,NA
Sally,,Hypomesus,nipponensis,Osmeridae,Freshwater,Animalia,Chordata,Actinopterygii,Osmeriformes,Hypomesus_nipponensis,NA,freshwater,,,,,,,,,pelagic,,NA
Sally,,Lepomis,gibbosus,Centrarchidae,Freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Lepomis_gibbosus,NA,freshwater,,,,,,,,,benthopelagic,,NA
Jenn,Nikki,Oncorhynchus,tshawytscha,Salmonidae,Freshwater,Animalia,Chordata,Actinopterygii,Salmoniformes,Oncorhynchus_tshawytscha,coastal,migrates to coast,fishbase,0,375,,fishbase,,,,benthopelagic,,listed freshwater but marine in thermal data - migrates to ocean (range includes coastal areas)
Jenn,,Alosa,pseudoharengus,Cottidae,Freshwater,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Alosa_pseudoharengus,NA,freshwater,,,,,,,,,pelagic,,NA
Jenn,,Cottus,cognatus,Cottidae,Freshwater,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottus_cognatus,NA,freshwater,,,,,,,,,demersal,,NA
Jenn,,Ameiurus,melas,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,Ameiurus_melas,NA,freshwater,,,,,,,,,demersal,,NA
Jenn,,Ameiurus,natalis,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,Ameiurus_natalis,NA,freshwater,,,,,,,,,demersal,,NA
Susana,,Halozetes,belgicae,Ameronothridae,Intertidal,Animalia,Arthropoda,Arachnida,Acarina,Halozetes_belgicae,NA,intertidal,,,,,,,,,intertidal,?,sealifebase says benthic
Jenn,,Hemigrapsus,nudus,Varunidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Hemigrapsus_nudus,NA,intertidal,,,,,,,,,benthic,sealifebase,NA
Jenn,,Pachygrapsus,marmoratus,Grapsidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Pachygrapsus_marmoratus,NA,intertidal,,,,,,,,,benthic,sealifebase,NA
Jenn,,Petrolisthes,gracilis,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Petrolisthes_gracilis,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Petrolisthes,hirtipes,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Petrolisthes_hirtipes,NA,intertidal,,,,,,,,,demersal,,NA
Jenn,,Gobius,cobitis,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,Gobius_cobitis,NA,intertidal,,,,,,,,,demersal,,NA
Jenn,Nikki,Gobius,niger,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,Gobius_niger,coastal,brackish water ,fishbase,1,96,,fishbase,,,,demersal,,listed freshwater but marine in thermal data - brackish water 
Sally,Nikki,Periophthalmus,kalolo,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,Periophthalmus_kalolo,coastal,,fishbase,0,2,,fishbase,,,,reef-associated,,marked intertidal here but actually marine according to thermal data - fixed in trait wrangling script
Jenn,,Patiriella,brevispina,Asterinidae,Intertidal,Animalia,Echinodermata,Asteroidae,Valvatida,Patiriella_brevispina,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Mytilus,edulis,Mytilidae,Intertidal,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilus_edulis,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Barbatia,pistachia,Arcidae,Intertidal,Animalia,Mollusca,Bivalvia,Pteriomorpha,Barbatia_pistachia,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Anodontia,bullula,Lucinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,Anodontia_bullula,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Cerastoderma,edule,Cardiidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,Cerastoderma_edule,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Divaricella,irpex,Lucinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,Divaricella_irpex,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Macoma,balthica,Tellinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,Macoma_balthica,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Mya,arenaria,Myidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,Mya_arenaria,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Spisula,subtruncata,Mactridae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,Spisula_subtruncata,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Tellina,tenuis,Tellinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,Tellina_tenuis,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Nacella,concinna,Patellidae,Intertidal,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Nacella_concinna,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Nucella,lapillus,Muricidae,Intertidal,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Nucella_lapillus,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Littorina,littorea,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorina_littorea,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Littorina,obtusata,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorina_obtusata,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Littorina,saxatilis,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorina_saxatilis,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Ischnochiton,australis,Ischnochitonidae,Intertidal,Animalia,Mollusca,Polyplaclophora,Chitonida,Ischnochiton_australis,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,Sarah,Crangon,crangon,Crangonidae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,Crangon_crangon,coastal,,sealifebase,0,50,,,,,,benthic,sealifebase,NA
Jenn,Sarah,Liocarcinus,marmoreus,Portunidae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,Liocarcinus_marmoreus,coastal,,sealifebase,0,200,,,,,,benthic,EOL,NA
Jenn,Sarah,Metacarcinus,magister,Cancridae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,Metacarcinus_magister,coastal-oceanic?,benthic up to 360 m,sealifebase,0,360,,,,,,benthic,EOL,NA
Jenn,Sarah,Liothyrella,uva,Terebratulidae,Marine,Animalia,Brachiopoda,Articulata,Terebratulida,Liothyrella_uva,oceanic?,range deeper than 200,sealifebase,232,385,,,,,,benthic,sealifebase,NA
Jenn,Sarah,Liothyrella,neozelanica,Terebratulidae,Marine,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,Liothyrella_neozelanica,coastal-oceanic,,sealifebase,6,1939,,,,,,benthic,sealifebase,NA
Sally,Sarah,Menidia,menidia,Atherinopsidae,Marine,Animalia,Chordata,Actinopterygii,Atheriniformes,Menidia_menidia,coastal,pelagic-neritic,fishbase,0,3,,fishbase,,,,pelagic,fishbase,NA
Sally,Sarah,Clupea,harengus,Clupeidae,Marine,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupea_harengus,coastal_oceanic,"""spawning and wintering grounds in coastal areas and feeding grounds in open water""",fishbase,0,364,0-200,fishbase,,,,benthopelagic,fishbase,NA
Sally,Sarah,Engraulis,japonicus,Engraulidae,Marine,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulis_japonicus,coastal?,"pelagic-neritic; ""mainly in coastal waters but as far out as over 1,000 km from the shore""",fishbase,0,400,,fishbase,,,,pelagic,fishbase,NA
Sally,Sarah,Fundulus,parvipinnis,Fundulidae,Marine,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulus_parvipinnis,coastal,,fishbase,,,,,,,,benthopelagic,fishbase,NA
Sally,Sarah,Boreogadus,saida,Gadidae,Marine,Animalia,Chordata,Actinopterygii,Gadiformes,Boreogadus_saida,coastal_oceanic,"""Occurs in coastal habitats during summer and winter""",fishbase,0,1383,0-400,fishbase,,,,demersal,fishbase,NA
Sally,Sarah,Dascyllus,aruanus,Pomacentridae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Dascyllus_aruanus,coastal,,fishbase,0,20,,fishbase,,,,reef-associated,fishbase,NA
Jenn,Sarah,Diplodus,bellottii,Sparidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Diplodus_bellottii,coastal,,fishbase,0,100,30-50,fishbase,,,,benthopelagic,fishbase,NA
Sally,Sarah,Halichoeres,dispilus,Labridae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Halichoeres_dispilus,coastal,,fishbase,2,76,,fishbase,,,,reef-associated,fishbase,NA
Jenn,Sarah,Lipophrys,trigloides,Blenniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Lipophrys_trigloides,coastal,,fishbase,,,,,,,,demersal,fishbase,NA
Sally,Sarah,Malacoctenus,zonifer,Labrisomidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Malacoctenus_zonifer,coastal,,https://biogeodb.stri.si.edu/sftep/en/thefishes/species/1793,,,,,,,,demersal,fishbase,NA
Sally,Sarah,Pachycara,brachycephalum,Zoarcidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Pachycara_brachycephalum,oceanic,,fishbase,200,1810,,fishbase,,,,bathydemersal,fishbase,NA
Jenn,Sarah,Parablennius,marmoreus,Blenniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Parablennius_marmoreus,coastal,,fishbase,0,10,,fishbase,,,,coral associated,fishbase,NA
Sally,Sarah,Plagiotremus,azaleus,Blenniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Plagiotremus_azaleus,coastal,,fishbase,2,23,,fishbase,,,,reef-associated,fishbase,NA
Sally,Sarah,Tautogolabrus,adspersus,Labridae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Tautogolabrus_adspersus,coastal,,fishbase,10,128,,fishbase,,,,reef-associated,fishbase,NA
Sally,Sarah,Thalassoma,lucasanum,Labridae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Thalassoma_lucasanum,coastal,,fishbase,0,64,2.0-25,fishbase,,,,reef-associated,fishbase,NA
Sally,Sarah,Trematomus,bernacchii,Nototheniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Trematomus_bernacchii,coastal-oceanic?,demersal up to 700 m; but usually 0-200 depth,fishbase,0,700,0-200,fishbase,,,,demersal,fishbase,NA
Sally,Sarah,Trematomus,hansoni,Nototheniidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Trematomus_hansoni,coastal-oceanic?,demersal up to 550 m,fishbase,6,549,,fishbase,,,,demersal,fishbase,NA
Sally,Sarah,Zoarces,viviparus,Zoarcidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Zoarces_viviparus,coastal,,fishbase,0,40,2.0-20,fishbase,,,,demersal,fishbase,NA
Jenn,Sarah,Pegusa,lascaris,Soleidae,Marine,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pegusa_lascaris,coastal,,fishbase,5,350,20-50,fishbase,,,,demersal,fishbase,NA
Jenn,Sarah,Sphoeroides,maculatus,Tetradontidae,Marine,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Sphoeroides_maculatus,coastal,,fishbase,10,183,,fishbase,,,,demersal,fishbase,NA
Sally,Sarah,Diplodus,sargus,Sparidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Diplodus_sargus,coastal,,fishbase,0,50,,fishbase,,,,demersal,fishbase,NA
Sally,Sarah,Diplodus,vulgaris,Sparidae,Marine,Animalia,Chordata,Actinopterygii,Perciformes,Diplodus_vulgaris,coastal,,fishbase,0,160,0-30,fishbase,,,,benthopelagic,fishbase,NA
Jenn,Sarah,Distaplia,occidentalis,Holozoidae,Marine,Animalia,Chordata,Ascidiacea,Aplousobranchia,Distaplia_occidentalis,coastal,,sealifebase,0,15,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Cnemidocarpa,bicornuta,Styelidae,Marine,Animalia,Chordata,Ascidiacea,Stolidobranchia,Cnemidocarpa_bicornuta,coastal,,sealifebase,NA,37,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Echinometra,lucunter,Echinometridae,Marine,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometra_lucunter,coastal,,sealifebase,0,45,,sealifebase,,,,reef-associated,sealifebase,NA
Jenn,Sarah,Pseudechinus,huttoni,Temnopleuridae,Marine,Animalia,Echinodermata,Echinoidea,Camarodonta,Pseudechinus_huttoni,coastal,,http://www.marinelife.ac.nz/species/994,,,,,,,,benthic,NA,NA
Jenn,Sarah,Eucidaris,tribuloides,Cidaridae,Marine,Animalia,Echinodermata,Echinoidea,Cidaroida,Eucidaris_tribuloides,coastal,,sealifebase,0,50,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Sterechinus,neumayeri,Echinidae,Marine,Animalia,Echinodermata,Echinoidea,Echinoida,Sterechinus_neumayeri,coastal-oceanic?,benthic up to 500,sealifebase,0,500,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Bullia,rhodostoma,Nassariidae,Marine,Animalia,Gastropoda,Neogastropoda,Nassariidae,Bullia_rhodostoma,coastal,confined to intertidal slope,https://books.google.ca/books?id=LWAfWCcMoNUC&pg=PA366&lpg=PA366&dq=Bullia+rhodostoma+maximum+depth&source=bl&ots=1wQGIsFxFw&sig=ACfU3U3EWGvnLzZQhQoaR9vNNanGuZRlQw&hl=en&sa=X&ved=2ahUKEwjn_oLjxK3wAhWMMlkFHQKODGMQ6AEwCHoECAUQAw#v=onepage&q=Bullia%20rhodostoma%20maximum%20depth&f=false,,,,,,,,benthic,sealifebase,NA
Jenn,Sarah,Acar,domingensis,Arcidae,Marine,Animalia,Mollusca,Bivalvia,Arcoida,Acar_domingensis,coastal,,sealifebase,0,155,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Limatula,hodgsoni,Limidae,Marine,Animalia,Mollusca,Bivalvia,Limoida,Limatula_hodgsoni,coastal-oceanic?,edge-shelf? based on depth range,sealifebase,115,346,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Mya,arenaria,Myidae,Marine,Animalia,Mollusca,Bivalvia,Myoida,Mya_arenaria,coastal,,sealifebase,0,192,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Adamussium,colbecki,Pectinidae,Marine,Animalia,Mollusca,Bivalvia,Ostreoida,Adamussium_colbecki,coastal,,sealifebase,37,136,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Laternula,elliptica,Laternulidae,Marine,Animalia,Mollusca,Bivalvia,Pholadomyoida,Laternula_elliptica,coastal,maybe extends just past shelf,sealifebase,1,248,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Donax,serra,Donacidae,Marine,Animalia,Mollusca,Bivalvia,Veneroida,Donax_serra,coastal,seems to be intertidal only,https://www.jstor.org/stable/4297763,,,,,,,,benthic,sealifebase,NA
Jenn,Sarah,Gemma,gemma,Veneridae,Marine,Animalia,Mollusca,Bivalvia,Veneroida,Gemma_gemma,coastal,,sealifebase,0,66,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Macoma,balthica,Tellinidae,Marine,Animalia,Mollusca,Bivalvia,Veneroida,Macoma_balthica,coastal,,sealifebase,0,270,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Mulinia,lateralis,Mactridae,Marine,Animalia,Mollusca,Bivalvia,Veneroida,Mulinia_lateralis,coastal,,sealifebase,0,134,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Cookia,sulcata,Turbinidae,Marine,Animalia,Mollusca,Gastropoda,Vetigastropoda,Cookia_sulcata,coastal,max sample depth 134m,https://obis.org/taxon/413403,,,,,,,,demersal,sealifebase,NA
Jenn,Sarah,Argopecten,purpuratus,Pectininae,Marine,Animalia,Molusca,Bivalvia,Pectinoida,Argopecten_purpuratus,coastal-oceanic?,up to 500 m,sealifebase,0,500,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Ensis,macha,Solnoidea,Marine,Animalia,Molusca,Bivalvia,Veneroida,Ensis_macha,coastal,,sealifebase,0,55,,sealifebase,,,,benthic,sealifebase,NA
Jenn,Sarah,Protothaca,thaca,Veneridae,Marine,Animalia,Molusca,Bivalvia,Veneroida,Leukoma_thaca,coastal,,sealifebase,0,20,,sealifebase,,,,benthic,FAO species fact sheet,Changed from Protothaca to Leukoma
Jenn,Sarah,Semele,solida,Samelidae,Marine,Animalia,Molusca,Bivalvia,Veneroida,Semele_solida,coastal,,sealifebase,0,11,,sealifebase,,,,benthic,sealifebase,NA
Susana,Sarah,Agroeca,proxima,Liocranidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Agroeca_proxima,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Clubiona,diversa,Clubionidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Clubiona_diversa,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Crustulina,guttata,Theridiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Crustulina_guttata,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Oedothorax,apicatus,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Oedothorax_apicatus,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Pardosa,nigriceps,Lycosidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Pardosa_nigriceps,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Philodromus,aureolus,Philodromidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Philodromus_aureolus,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Phrurolithus,festivus,Corinnidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Phrurolithus_festivus,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Prinerigone,vagans,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Prinerigone_vagans,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Scotina,gracilipes,Liocranidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Scotina_gracilipes,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Stemonyphantes,lineatus,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Stemonyphantes_lineatus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Calathus,melanocephalus,Carabidae,Terrestrial,Animalia,Arthropoda,Insecta,Coleoptera,Calathus_melanocephalus,,,,,,,,1000,543,IUCN,NA,terrestrial,NA
Piero,Sarah,Aphaenogaster,fulva,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Aphaenogaster_fulva,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,americanus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_americanus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,castaneus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_castaneus,,,,,,,,,,,NA,terrestrial,NA
