data gatherer,habitat data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,genus_species,coastal_or_oceanic,notes/logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,upper_elevation_limit_meters,lower_elevation_limit_meters,elevational_range_source,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes
Piero,Sarah,Camponotus,chromaiodes,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_chromaiodes,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,novaeboracensis,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_novaeboracensis,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,pennsylvanicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_pennsylvanicus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Crematogaster,lineolata,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Crematogaster_lineolata,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Formica,neogagates,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Formica_neogagates,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Formica,obscuripes,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Formica_obscuripes,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Linepithema,humile,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Linepithema_humile,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Myrmecocystus,mimicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Myrmecocystus_mimicus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Pogonomyrmex,barbatus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Pogonomyrmex_barbatus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Pogonomyrmex,californicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Pogonomyrmex_californicus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Pogonomyrmex,rugosus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Pogonomyrmex_rugosus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Proceratium,silaceum,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Proceratium_silaceum,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Tetramorium,caespitum,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Tetramorium_caespitum,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Trachymyrmex,septentrionalis,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Trachymyrmex_septentrionalis,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Acris,crepitans,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Acris_crepitans,,,,,,,,,,,NA,terrestrial,AmphibiaWeb
Micky,Sarah,Adelotus,brevis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Adelotus_brevis,,,,,,,,400,0,Amphibia Web,NA,terrestrial,NA
Micky,Sarah,Anaxyrus,compactilis,Bufonidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Anaxyrus_compactilis,,,,,,,,2000,1000,IUCN,NA,terrestrial,NA
Micky,Sarah,Craugastor,fitzingeri,Eleutherodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Craugastor_fitzingeri,,,,,,,,1520,0,IUCN,NA,terrestrial,NA
Micky,Sarah,Craugastor,fleischmanni,Craugastoridae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Craugastor_fleischmanni,,,,,,,,2286,1050,IUCN,NA,terrestrial,NA
Micky,Sarah,Crinia,signifera,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Crinia_signifera,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Dendrobates,auratus,Dendrobatidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Dendrobates_auratus,,,,,,,,1000,0,IUCN,NA,terrestrial,NA
Micky,Sarah,Eleutherodactylus,coqui,Eleutherodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Eleutherodactylus_coqui,,,,,,,,1338,0,IUCN,NA,terrestrial,NA
Micky,Sarah,Engystomops,pustulosus,Leptodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Engystomops_pustulosus,,,,,,,,1540,0,IUCN,NA,terrestrial,NA
Micky,Sarah,Hyalinobatrachium,fleischmanni,Centrolenidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Hyalinobatrachium_fleischmanni,,,,,,,,1680,0,IUCN,NA,terrestrial,NA
Micky,Sarah,Leptodactylus,pentadactylus,Leptodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Leptodactylus_pentadactylus,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Limnodynastes,dorsalis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Limnodynastes_dorsalis,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Limnodynastes,fletcheri,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Limnodynastes_fletcheri,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Limnodynastes,tasmaniensis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Limnodynastes_tasmaniensis,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Litoria,gracilenta,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Litoria_gracilenta,,,,,,,,,,,NA,terrestrial,Changed from Litoria
Micky,Sarah,Neobatrachus,pictus,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Neobatrachus_pictus,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Philoria,frosti,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Philoria_frosti,,,,,,,,1560,900,Amphibia Web,NA,terrestrial,NA
Micky,Sarah,Philoria,loveridgei,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Philoria_loveridgei,,,,,,,,1219,1,Amphibians of the World,NA,terrestrial,"McPherson range, although Amphibia web said it occurs in rainforests above 1000m "
Micky,Sarah,Pseudacris,cadaverina,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Pseudacris_cadaverina,,,,,,,,2290,0,NatureServe Explorer,NA,terrestrial,NA
Micky,Sarah,Pseudacris,regilla,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Pseudacris_regilla,,,,,,,,3540,0,NatureServe Explorer,NA,terrestrial,NA
Micky,Sarah,Pseudacris,triseriata,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Pseudacris_triseriata,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Pseudophryne,corroboree,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Pseudophryne_corroboree,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Pseudophryne,dendyi,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Pseudophryne_dendyi,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Rana,cascadae,Ranidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Rana_cascadae,,,,,,,,2500,400,NatureServe Explorer,NA,terrestrial,NA
Micky,Sarah,Rana,pretiosa,Ranidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Rana_pretiosa,,,,,,,,1500,0,NatureServe Explorer,NA,terrestrial,NA
Micky,Sarah,Scinax,staufferi,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Scinax_staufferi,,,,,,,,1530,0,IUCN,NA,terrestrial,NA
Micky,Sarah,Spea,hammondii,Scaphiopodidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,Spea_hammondii,,,,,,,,1363,0,NatureServe Explorer,NA,terrestrial,NA
Micky,Sarah,Ambystoma,jeffersonianum,Ambystomatidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Ambystoma_jeffersonianum,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Ambystoma,macrodactylum,Ambystomatidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Ambystoma_macrodactylum,,,,,,,,3050,0,IUCN,NA,terrestrial,NA
Micky,Sarah,Ambystoma,maculatum,Ambystomatidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Ambystoma_maculatum,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Desmognathus,fuscus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Desmognathus_fuscus,,,,,,,,1200,0,Animal Diversity,NA,terrestrial,NA
Micky,Sarah,Desmognathus,ochrophaeus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Desmognathus_ochrophaeus,,,,,,,,1280,168,NatureServe Explorer,NA,terrestrial,NA
Micky,Sarah,Desmognathus,quadramaculatus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Desmognathus_quadramaculatus,,,,,,,,1646,500,IUCN,NA,terrestrial,NA
Micky,Sarah,Eurycea,bislineata,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Eurycea_bislineata,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Eurycea,longicauda,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Eurycea_longicauda,,,,,,,,700,0,Animal Diversity,NA,terrestrial,NA
Micky,Sarah,Eurycea,lucifuga,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Eurycea_lucifuga,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Eurycea,multiplicata,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Eurycea_multiplicata,,,,,,,,763,107,Amphibia Web,NA,terrestrial,NA
Micky,Sarah,Eurycea,nana,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Eurycea_nana,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Notophthalmus,viridescens,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Notophthalmus_viridescens,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Plethodon,glutinosus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Plethodon_glutinosus,,,,,,,,,,,NA,terrestrial,NA
Micky,Sarah,Pseudotriton,ruber,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,Pseudotriton_ruber,,,,,,,,1500,0,IUCN,NA,terrestrial,NA
Miguel R.,Sarah,Acanthodactylus,erythrurus,Lacertidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Acanthodactylus_erythrurus,,,,,,,,2800,NA,IUCN,NA,terrestrial,NA
Adam A,Sarah,Acontias,meleagris,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Acontias_meleagris,,,,,,,,1400,0,IUCN,NA,terrestrial,"This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener"
Miguel R.,Sarah,Agkistrodon,contortrix,Viperidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Agkistrodon_contortrix,,,,,,,,914,0,Snake Database,NA,terrestrial,NA
Ignacio,Sarah,Ameiva,festiva,Teiidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Holcosus_festivus,,,,,,,,1435,0,IUCN,NA,terrestrial,Changed name from Ameiva festiva to Holcosus festivus
Ignacio,Sarah,Amphibolurus,muricatus,Agamidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Amphibolurus_muricatus,,,,,,,,,,,NA,terrestrial,NA
Miguel R.,Sarah,Anniella,pulchra,Anniellidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anniella_pulchra,,,,,,,,1550,0,NatureServe Explorer,NA,terrestrial,NA
Adam A,Sarah,Anolis,barbouri,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_barbouri,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Anolis,carolinensis,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_carolinensis,,,,,,,,610,46,Animal Diversity,NA,terrestrial,NA
Adam A,Sarah,Anolis,cooki,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_cooki,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Anolis,cristatellus,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_cristatellus,,,,,,,,549,0,Animal Diversity,NA,terrestrial,NA
Adam A,Sarah,Anolis,cybotes,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_cybotes,,,,,,,,1830,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,evermanni,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_evermanni,,,,,,,,1205,20,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,frenatus,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_frenatus,,,,,,,,900,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,gundlachi,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_gundlachi,,,,,,,,1200,240,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,krugi,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_krugi,,,,,,,,1205,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,lionotus,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_lionotus,,,,,,,,805,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,marcanoi,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_marcanoi,,,,,,,,1800,200,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,oculatus,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_oculatus,,,,,,,,914,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,pulchellus,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_pulchellus,,,,,,,,945,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,roquet,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_roquet,,,,,,,,1370,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anolis,semilineatus,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_semilineatus,,,,,,,,1700,-20,IUCN,NA,terrestrial,"Found around islands, mangroves (range data from Schwartz and Henderson 1991)"
Adam A,Sarah,Anolis,shrevei,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_shrevei,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Anolis,stratulus,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anolis_stratulus,,,,,,,,950,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Anomalopus,brevicollis,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anomalopus_brevicollis,,,,,,,,,,,NA,terrestrial,"This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method"
Adam A,Sarah,Anomalopus,leuckartii,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Anomalopus_leuckartii,,,,,,,,,,,NA,terrestrial,"This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method"
Miguel R.,Sarah,Arizona,elegans,Colubridae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Arizona_elegans,,,,,,,,2200,0,NatureServe Explorer,NA,terrestrial,NA
Miguel R.,Sarah,Austrelaps,superbus,Elapidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Austrelaps_superbus,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Basiliscus,vittatus,Corytophanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Basiliscus_vittatus,,,,,,,,1500,0,IUCN,NA,terrestrial,NA
Adam A,Sarah,Bassiana,duperreyi,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Acritoscincus_duperreyi,,,,,,,,,,,NA,terrestrial,Bassiana is listed as a synonym for Acritoscincus on Reptile Database & IUCN
Adam A,Sarah,Bassiana,platynota,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Acritoscincus_platynota,,,,,,,,,,,NA,terrestrial,Bassiana is listed as a synonym for Acritoscincus on Reptile Database & IUCN
Adam A,Sarah,Calyptotis,temporalis,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Calyptotis_temporalis,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Carlia,longipes,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Carlia_longipes,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Carlia,munda,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Carlia_munda,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Carlia,pectoralis,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Carlia_pectoralis,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Carlia,rhomboidalis,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Carlia_rhomboidalis,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Carlia,vivax,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Carlia_vivax,,,,,,,,,,,NA,terrestrial,NA
Ignacio,Sarah,Chamaeleo,dilepis,Chamaeleonidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Chamaeleo_dilepis,,,,,,,,2600,0,IUCN,NA,terrestrial,NA
Ignacio,Sarah,Chamaeleo,jacksonii,Chamaeleonidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Chamaeleo_jacksonii,,,,,,,,3200,1500,IUCN,NA,terrestrial,NA
Miguel R.,Sarah,Charina,bottae,Boidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Charina_bottae,,,,,,,,3050,0,IUCN,NA,terrestrial,NA
Miguel R.,Sarah,Chionactis,occipitalis,Colubridae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Chionactis_occipitalis,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Chondrodactylus,angulifer,Gekkonidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Chondrodactylus_angulifer,,,,,,,,,,,NA,terrestrial,No data available- assumptions based on similar species/sympatric species of other families
Adam A,Sarah,Chondrodactylus,bibronii,Gekkonidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Chondrodactylus_bibronii,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Coleonyx,brevis,Eublepharidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Coleonyx_brevis,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Coleonyx,variegatus,Eublepharidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Coleonyx_variegatus,,,,,,,,2000,0,NatureServe Explorer,NA,terrestrial,NA
Miguel R.,Sarah,Coluber,constrictor,Colubridae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Coluber_constrictor,,,,,,,,2438,0,Snake Database,NA,terrestrial,NA
Ignacio,Sarah,Cophosaurus,texanus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Cophosaurus_texanus,,,,,,,,2100,0,NatureServe Explorer,NA,terrestrial,NA
Ignacio,Sarah,Cordylus,cordylus,Cordylidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Cordylus_cordylus,,,,,,,,,,,NA,terrestrial,NA
Ignacio,Sarah,Cordylus,niger,Cordylidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Cordylus_niger,,,,,,,,,,,NA,terrestrial,NA
Ignacio,Sarah,Cordylus,oelofseni,Cordylidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Cordylus_oelofseni,,,,,,,,,,,NA,terrestrial,NA
Miguel R.,Sarah,Crotalus,atrox,Viperidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Crotalus_atrox,,,,,,,,2500,0,Snake Database,NA,terrestrial,NA
Miguel R.,Sarah,Crotalus,cerastes,Viperidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Crotalus_cerastes,,,,,,,,1850,0,NatureServe Explorer,NA,terrestrial,NA
Miguel R.,Sarah,Crotalus,scutulatus,Viperidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Crotalus_scutulatus,,,,,,,,2530,0,Snake Database,NA,terrestrial,NA
Miguel R.,Sarah,Crotalus,viridis,Viperidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Crotalus_viridis,,,,,,,,3000,0,Snake Database,NA,terrestrial,NA
Adam A,Sarah,Crotaphytus,collaris,Crotaphytidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Crotaphytus_collaris,,,,,,,,,,,NA,terrestrial,"Many reptile species undergo partial cold season dormancy termed ""brumation"". This is not full dormancy as they can return to more 'normal' activity on warm days"
Adam A,Sarah,Cryptoblepharus,litoralis,Scincidae,Intertidal,Animalia,Chordata,Reptilia,Squamata,Cryptoblepharus_litoralis,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Cryptoblepharus,plagiocephalus,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Cryptoblepharus_plagiocephalus,,,,,,,,,,,NA,terrestrial,NA
Adam A,Sarah,Cryptoblepharus,virgatus,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,Cryptoblepharus_virgatus,,,,,,,,600,0,IUCN,NA,terrestrial,NA
